Company Name,Symbol,Offer Amount,Date Filed,,,
"BORROWMONEY.COM, INC.",,"$2,053,000",1/4/16,,,
"CORVUS PHARMACEUTICALS, INC.",CRVS,"$70,500,000",1/4/16,,,
REATA PHARMACEUTICALS INC,RETA,"$80,000,000",1/4/16,,,
"AUDENTES THERAPEUTICS, INC.",BOLD,"$86,250,000",1/4/16,,,
BAVARIAN NORDIC A/S / ADR,,"$86,250,000",1/4/16,,,
"RED FISH HOLDINGS, INC.",,"$200,000",2/19/16,,,
PHOENIX APPS INC.,,"$150,000",2/19/16,,,
YANGTZE RIVER DEVELOPMENT LTD,,"$57,500,000",2/18/16,,,
"REDWOOD SCIENTIFIC TECHNOLOGIES, INC.",,"$9,140,114",2/12/16,,,
"CORPORATE COACHES,INC.",,"$200,000",2/12/16,,,
BIGFOOT PROJECT INVESTMENTS INC,,"$3,000,000",2/12/16,,,
INBIT CORP,,"$100,000",2/12/16,,,
INTERNATIONAL LAND ALLIANCE INC.,,"$1,365,000",2/11/16,,,
FAR SIGHTED MEDIA INC,,"$1,980,000",2/11/16,,,
MAKH GROUP CORP.,,"$60,000",2/11/16,,,
BIOLIGHT LIFE SCIENCES LTD.,BOLT,"$16,264,287.60",2/10/16,,,
"SENSUS HEALTHCARE, INC.",SRTS,"$25,090,908",2/10/16,,,
US FOODS HOLDING CORP.,USFD,"$100,000,000",2/9/16,,,
COLONY GLOBAL ACQUISITION CORP.,CCACU,"$345,000,000",2/5/16,,,
HIP CUISINE INC.,,"$375,000",2/3/16,,,
"INNERSCOPE ADVERTISING AGENCY, INC.",,"$30,200",2/2/16,,,
"LENG UNIVERSAL, INC.",,"$10,000,000",2/2/16,,,
ALL SOFT GELS INC,,"$4,000",2/2/16,,,
"MOLECULIN BIOTECH, INC.",MBRX,"$12,000,000",2/1/16,,,
"SPIRIT INTERNATIONAL, INC.",,"$400,000",3/31/16,,,
UNITED GUARANTY CORP.,,"$100,000,000",3/30/16,,,
OGL HOLDINGS LTD.,,"$5,499,000",3/30/16,,,
APP INCLINE CORP,,"$100,000",3/29/16,,,
DESEO SWIMWEAR INC.,,"$73,550",3/28/16,,,
MGM GROWTH PROPERTIES LLC,MGP,"$1,050,000,000",3/22/16,,,
BARE METAL STANDARD INC.,,"$3,000,000",3/22/16,,,
PRECIOUS METALS EXPLORATION CORP.,,"$150,000",3/21/16,,,
"MOXIAN, INC.",,"$57,500,000",3/16/16,,,
GEF ACQUISITION CORP,GEFAU,"$115,000,000",3/11/16,,,
LAZURITON NANO BIOTECHNOLOGY (U.S.A.) INC.,,"$200,000",3/11/16,,,
HUNTING DOG CAPITAL CORP.,HDCC,"$50,000,000",3/4/16,,,
ATKORE INTERNATIONAL GROUP INC.,ATKR,"$100,000,000",3/4/16,,,
WIKE CORP.,,"$50,000",3/3/16,,,
RIZZEN INC.,,"$120,000",3/3/16,,,
GETELMAN CORP.,,"$100,000",3/3/16,,,
"COTIVITI HOLDINGS, INC.",COTV,"$100,000,000",4/29/16,,,
"LANDCADIA HOLDINGS, INC.",LCAHU,"$345,000,000",4/28/16,,,
"RC-1, INC.",RCRS,"$251,172",4/27/16,,,
"NEW GOLD DISCOVERIES, INC.",,"$3,000,000",4/27/16,,,
PERFORMANCE HEALTH HOLDINGS CORP.,PHC,"$100,000,000",4/22/16,,,
CF CORP,CFCOU,"$690,000,000",4/21/16,,,
"VIVEVE MEDICAL, INC.",VIVE,"$10,000,000",4/19/16,,,
M III ACQUISITION CORP.,MIIIU,"$201,250,000",4/19/16,,,
GEMPHIRE THERAPEUTICS INC.,GEMP,"$60,000,000",4/18/16,,,
"PHASERX, INC.",PZRX,"$29,785,000",4/18/16,,,
"TRIPBORN, INC.",,"$3,214,285.80",4/18/16,,,
NEXT GEN WATER CORP LTD.,,"$250,000",4/12/16,,,
"INTELLIA THERAPEUTICS, INC.",NTLA,"$103,500,000",4/11/16,,,
"MIDLAND STATES BANCORP, INC.",MSBI,"$120,000,000",4/11/16,,,
"ADVANCEPIERRE FOODS HOLDINGS, INC.",,"$100,000,000",4/11/16,,,
LONG ISLAND ICED TEA CORP.,,"$11,500,000",4/8/16,,,
VIAMET PHARMACEUTICALS HOLDINGS LLC,VMET,"$104,880,000",4/8/16,,,
"INVENTIV GROUP HOLDINGS, INC.",,"$100,000,000",4/5/16,,,
YINTECH INVESTMENT HOLDINGS LTD,YIN,"$101,250,000",4/4/16,,,
GABBIT CORP.,,"$90,000",4/4/16,,,
GLOBAL MEDICAL REIT INC.,GMR,"$100,000,000",4/1/16,,,
